skfjv65 [2025-10-12T07:22:38.638Z] "GET /home HTTP/1.1" 200 3.944 ms - anonymous - none
fj0w07c [2025-10-12T07:22:43.531Z] "POST /api/v1/auth/logout HTTP/1.1" 200 6.108 ms - anonymous - none
u43y5wo [2025-10-12T07:22:46.945Z] "POST /api/v1/auth/login HTTP/1.1" 200 237.171 ms - anonymous - none
o327tn6 [2025-10-12T07:22:50.543Z] "GET /api/v1/auth/profile HTTP/1.1" 200 47.847 ms - 68e222ca4459206ec237b857 - none
fx6bmx8 [2025-10-12T07:22:54.178Z] "GET /api/v1/auth/ HTTP/1.1" 200 0.986 ms - anonymous - none
e3fk9yt [2025-10-12T07:23:44.032Z] "GET /api/v1/url HTTP/1.1" 200 0.319 ms - anonymous - none
y8i0czh [2025-10-12T07:23:50.477Z] "GET /api/v1/url/mylink2 HTTP/1.1" 302 64.391 ms - anonymous - mylink2
gtz5r6p [2025-10-12T07:38:32.247Z] "GET /home HTTP/1.1" 200 5.073 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none
cyq6si9 [2025-10-12T07:38:37.610Z] "GET /api/v1/auth/ HTTP/1.1" 200 4.859 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none
nvtcpuz [2025-10-12T07:38:42.467Z] "POST /api/v1/auth/login HTTP/1.1" 200 229.897 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none
bfta35z [2025-10-12T07:38:47.853Z] "GET /api/v1/auth/profile HTTP/1.1" 200 48.751 ms - ::1 - user1 - PostmanRuntime/7.48.0 - none - none
ejjqlz0 [2025-10-12T07:38:51.993Z] "GET /api/v1/url HTTP/1.1" 200 0.356 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none


New Starting----------------------------------------------------------------------------------
[Oct 12, 2025, 13:39:01] baqp9yk | IP: ::1 | User: anonymous | "GET /api/v1/url/mylink1" | Status: 429 | Time: 0.814 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:39:13] 0e94ndn | IP: ::1 | User: anonymous | "GET /api/v1/url/mylink2/analytics" | Status: 429 | Time: 1.036 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:40:31] ygfqmxz | IP: ::1 | User: anonymous | "GET /home" | Status: 200 | Time: 2.297 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:40:41] 0ydkytn | IP: ::1 | User: anonymous | "GET /api/v1/auth/" | Status: 200 | Time: 4.387 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:40:45] d6wkx1v | IP: ::1 | User: anonymous | "POST /api/v1/auth/login" | Status: 200 | Time: 196.566 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:40:51] 47i5b9y | IP: ::1 | User: user1 | "GET /api/v1/auth/profile" | Status: 200 | Time: 43.343 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:40:56] ln8clfx | IP: ::1 | User: anonymous | "GET /api/v1/url" | Status: 200 | Time: 0.246 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:41:04] fj5m480 | IP: ::1 | User: anonymous | "GET /api/v1/url/mylink1" | Status: 302 | Time: 56.527 ms | UA: PostmanRuntime/7.48.0 | ShortID: mylink1 | OriginalURL: none
[Oct 12, 2025, 13:41:12] dmov6an | IP: ::1 | User: anonymous | "GET /api/v1/url/mylink2" | Status: 302 | Time: 48.704 ms | UA: PostmanRuntime/7.48.0 | ShortID: mylink2 | OriginalURL: none
[Oct 12, 2025, 13:41:19] dywxt6w | IP: ::1 | User: anonymous | "GET /api/v1/url/mylink1" | Status: 302 | Time: 46.159 ms | UA: PostmanRuntime/7.48.0 | ShortID: mylink1 | OriginalURL: none
[Oct 12, 2025, 13:41:28] bfajgnt | IP: ::1 | User: user1 | "GET /api/v1/url/mylink2/analytics" | Status: 200 | Time: 90.728 ms | UA: PostmanRuntime/7.48.0 | ShortID: mylink2 | OriginalURL: none
